FP,isFake,SET
../data/anti-deepfake-data and code/data/authentic/Seattle/16_22903_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_23006.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10455_23004.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22998.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10462_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10487_22969.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10471_22975.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22972.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10476_22978.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10469_22997.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10473_22970.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10462_22987.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22989.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/17_22908_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10456_22977.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22962.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10456_22990.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10463_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10478_22959.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/27_12409_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10476_22980.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22981.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10454_22991.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_23002.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10459_22984.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10466_22962.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10468_23004.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10464_22964.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10457_22993.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10459_23000.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/24_12422_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22992.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_22990.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/24_22865_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/15_22905_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/12_22872_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_23003.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10477_22997.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10466_22979.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22875_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10463_23000.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/6_12403_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_22981.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/14_22879_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_22989.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10482_23005.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/31_12427_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10473_22985.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_23000.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10461_22986.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10459_22994.png,0,train
