FP,isFake,SET
../data/anti-deepfake-data and code/data/authentic/Seattle_128/19_22889_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10459_22995_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/19_12407_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10471_22962_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/29_22867_A_real_A_1.png,0,train
../data/lightGAN-gen/images/Tacoma-generated-150/ema/generated-03-13-2022_08-51-58-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10485_23001_1.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_01-53-09-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/32_12414_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10472_22982_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10469_22971_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10466_22975_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10479_22983_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10486_22981_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/31_12418_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/27_22893_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10461_22994_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10466_22970_0.png,0,train
../data/lightGAN-gen/images/Beijing-generated-150/ema/generated-03-13-2022_06-35-42-0-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10471_22994_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/14_12401_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/25_12404_A_real_A_2.png,0,train
