FP,isFake,SET
../data/anti-deepfake-data and code/data/authentic/Seattle_128/19_22867_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/14_12426_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10458_22999_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10462_22994_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/15_22907_A_real_A_3.png,0,train
../data/styleGAN-attn-gen/images/Tacoma/ema/generated-03-17-2022_15-58-00-258-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/21_12433_A_real_A_0.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2869-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10473_22995_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/27_12417_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10494_22972_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/5_12420_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10461_22979_2.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/15_12426_A_real_A_0.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10468_22988_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle_128/19_22900_A_real_A_3.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/30_12417_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10473_22974_3.png,0,train
../data/styleGAN-attn-gen/images/Seattle/ema/generated-03-17-2022_15-55-47-2027-ema.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing_128/10_12423_A_real_A_1.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma_128/10462_22983_2.png,0,train
